Название,URL,Причина
La Nueva España - Actualidad,https://www.lne.es/rss/section/3279/,Нет свежих новостей (всего: 10)
La Nueva España - Programación Tv,https://www.lne.es/rss/section/3288/,Нет свежих новостей (всего: 10)
La Nueva España - Manuel Mostaza Barrios,https://www.lne.es/rss/author/2113630/,Нет свежих новостей (всего: 1)
La Nueva España - Juan Vázquez,https://www.lne.es/rss/author/1783448/,Нет свежих новостей (всего: 7)
La Nueva España - Santiago Lago Peñas,https://www.lne.es/rss/author/2113491/,Нет свежих новостей (всего: 1)
La Nueva España - Pablo Gallén,https://www.lne.es/rss/author/2004427/,Нет свежих новостей (всего: 9)
La Nueva España - David Page,https://www.lne.es/rss/author/1966552/,Нет свежих новостей (всего: 9)
La Nueva España - Carla Vega,https://www.lne.es/rss/author/1993626/,Нет свежих новостей (всего: 9)
La Nueva España - Asturianos,https://www.lne.es/rss/section/1707197/,Нет свежих новостей (всего: 10)
La Nueva España - La vida buena,https://www.lne.es/rss/section/3280/,Нет свежих новостей (всего: 10)
La Nueva España - Más domingo,https://www.lne.es/rss/section/3086/,Нет свежих новостей (всего: 10)
La Nueva España - Asturians under American Flag,https://www.lne.es/rss/author/2061176/,Нет свежих новостей (всего: 9)
La Nueva España - Virginia Casielles,https://www.lne.es/rss/author/2085611/,Нет свежих новостей (всего: 8)
La Nueva España - Miguel Ángel Gullón Pérez,https://www.lne.es/rss/author/2104822/,Нет свежих новостей (всего: 1)
La Nueva España - Chus Neira,https://www.lne.es/rss/author/3559/,Нет свежих новостей (всего: 9)
La Nueva España - José Manuel Prieto Fernández del Viso,https://www.lne.es/rss/author/2047915/,Нет свежих новостей (всего: 6)
La Nueva España - Manuel J. García Rodríguez,https://www.lne.es/rss/author/1689935/,Нет свежих новостей (всего: 9)
La Nueva España - Canal Parlamento,https://www.lne.es/rss/section/1674512/,Нет свежих новостей (всего: 10)
La Nueva España - Elena Casero,https://www.lne.es/rss/author/1946237/,Нет свежих новостей (всего: 9)
La Nueva España - Inmaculada González-Carbajal García,https://www.lne.es/rss/author/1240720/,Нет свежих новостей (всего: 9)
La Nueva España - Juan A. Ardura,https://www.lne.es/rss/author/3533/,Нет свежих новостей (всего: 9)
La Nueva España - Centro Opinión,https://www.lne.es/rss/section/3278/,Нет свежих новостей (всего: 16)
La Nueva España - Leocadio Redondo Espina,https://www.lne.es/rss/author/1214616/,Нет свежих новостей (всего: 9)
La Nueva España - Siero Opinión,https://www.lne.es/rss/section/1566099/,Нет свежих новостей (всего: 16)
La Nueva España - Vicente A. Montes Álvarez,https://www.lne.es/rss/author/1242246/,Нет свежих новостей (всего: 9)
La Nueva España - Ricardo Junquera,https://www.lne.es/rss/author/1678792/,Нет свежих новостей (всего: 9)
La Nueva España - Paula Tamargo,https://www.lne.es/rss/author/1307421/,Нет свежих новостей (всего: 9)
La Nueva España - Asturianos,https://www.lne.es/rss/section/1710586/,Нет свежих новостей (всего: 10)
La Nueva España - Amor Domínguez,https://www.lne.es/rss/author/3561/,Нет свежих новостей (всего: 9)
La Nueva España - Llanera,https://www.lne.es/rss/section/1774261/,Нет свежих новостей (всего: 10)
La Nueva España - Villaviciosa Opinión,https://www.lne.es/rss/section/1761308/,Нет свежих новостей (всего: 8)
La Nueva España - Villaviciosa,https://www.lne.es/rss/section/1761723/,Нет свежих новостей (всего: 10)
La Nueva España - Villaviciosa,https://www.lne.es/rss/section/1761724/,Нет свежих новостей (всего: 10)
La Nueva España - Vicente Alonso,https://www.lne.es/rss/author/1782171/,Нет свежих новостей (всего: 9)
La Nueva España - Villaviciosa,https://www.lne.es/rss/section/1730973/,Нет свежих новостей (всего: 9)
La Nueva España - José Luis Rodríguez Mera,https://www.lne.es/rss/author/2100558/,Нет свежих новостей (всего: 4)
La Nueva España - Lucas Blanco,https://www.lne.es/rss/author/3590/,Нет свежих новостей (всего: 9)
La Nueva España - María Elena Martínez Martínez,https://www.lne.es/rss/author/2104738/,Нет свежих новостей (всего: 3)
La Nueva España - Grado Opinión,https://www.lne.es/rss/section/1928062/,Нет свежих новостей (всего: 1)
La Nueva España - Macarena López,https://www.lne.es/rss/author/2073434/,Нет свежих новостей (всего: 7)
La Nueva España - Ángel de la Fuente,https://www.lne.es/rss/author/1226546/,Нет свежих новостей (всего: 9)
La Nueva España - David Valiela,https://www.lne.es/rss/author/1946071/,Нет свежих новостей (всего: 9)
La Nueva España - Ana M. Serrano,https://www.lne.es/rss/author/1279706/,Нет свежих новостей (всего: 9)
La Nueva España - Sara Arias,https://www.lne.es/rss/author/1276309/,Нет свежих новостей (всего: 9)
La Nueva España - José A. Ordóñez,https://www.lne.es/rss/author/3530/,Нет свежих новостей (всего: 9)
La Nueva España - Luis Ángel Vega,https://www.lne.es/rss/author/3532/,Нет свежих новостей (всего: 9)
